,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
185,702286,3604846,West End,Roncesvalles,43.65369,-79.45178,Entire home/apt,209,2,17,2019-08-12,0.19,5,365,2019,8,12
186,703124,3604846,West End,High Park-Swansea,43.65541,-79.45327,Entire home/apt,345,4,19,2019-08-26,0.26,5,346,2019,8,26
187,703133,3604846,West End,High Park-Swansea,43.65541,-79.45289,Entire home/apt,285,4,6,2019-10-07,0.07,5,0,2019,10,7
189,719384,1919294,North York,Bayview Village,43.76686,-79.38285,Entire home/apt,170,14,6,2019-11-02,0.11,82,159,2019,11,2
190,720213,3238718,Downtown Core,Waterfront Communities-The Island,43.64446,-79.40268,Entire home/apt,170,3,41,2018-10-29,0.48,1,80,2018,10,29
191,727514,2597290,West End,Trinity-Bellwoods,43.65098,-79.41023,Private room,54,7,112,2019-11-10,1.31,4,0,2019,11,10
192,728296,1919294,West End,Niagara,43.63752,-79.41382,Entire home/apt,170,28,13,2018-10-04,0.18,82,88,2018,10,4
193,728817,3783106,West End,Roncesvalles,43.64111,-79.44661,Entire home/apt,270,4,9,2018-07-22,0.12,1,170,2018,7,22
194,732562,3814089,East York,Leaside-Bennington,43.71445,-79.36336,Entire home/apt,98,2,155,2019-12-01,2.2,1,309,2019,12,1
195,737456,2441761,West End,High Park-Swansea,43.65418,-79.45242,Entire home/apt,300,7,14,2018-01-01,0.17,2,7,2018,1,1
196,738252,3604846,West End,High Park-Swansea,43.65394,-79.45248,Entire home/apt,205,3,9,2018-03-08,0.11,5,310,2018,3,8
197,739568,3709828,East End,Bay Street Corridor,43.65258,-79.38203,Entire home/apt,170,12,9,2019-07-27,0.55,5,190,2019,7,27
198,742076,3377580,Scarborough,Ionview,43.73273,-79.27358,Entire home/apt,133,7,21,2019-09-29,0.27,1,364,2019,9,29
199,756619,3982898,Downtown Core,Cabbagetown-South St.James Town,43.66389,-79.3705,Private room,76,2,48,2019-11-01,0.61,3,159,2019,11,1
200,762143,4017316,Downtown Core,Waterfront Communities-The Island,43.63757,-79.39253,Entire home/apt,93,180,6,2017-06-03,0.09,1,98,2017,6,3
