id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12468378,Charming 3BR Victorian Downtown,11949507,Tiberius And Eduard,,Moss Park,43.65935,-79.36746,Entire home/apt,349,2,87,2019-11-10,2.35,1,0
12469602,Peaceful Retreat by the Beach,14749364,Vivian,,The Beaches,43.6703,-79.29068,Entire home/apt,150,3,77,2019-09-30,1.76,1,346
12470186,Sweet Lil Suite in Great Location,54784899,Cindy And Jay,,Dovercourt-Wallace Emerson-Junction,43.66062,-79.4339,Entire home/apt,89,2,38,2019-09-29,0.87,1,0
12491241,Comfy house in family neighbourhood,3118660,Zoltan,,High Park-Swansea,43.64999,-79.47493,Entire home/apt,231,7,13,2019-10-04,0.34,1,77
12493046,Den in the center of Downtown,45034679,Ricky,,Bay Street Corridor,43.66639,-79.38898,Private room,30,14,0,,,1,0
12510551,Toronto Home w/ Easy Subway Access,4366884,Vivian,,Danforth East York,43.68794,-79.34762,Private room,80,1,0,,,1,0
12515409,The Chill Zone,67395349,Tonye,,Yorkdale-Glen Park,43.72273,-79.44693,Private room,121,3,0,,,1,133
12515733,W.H. Smith Book Factory Flat,14247994,Kayla,,Trinity-Bellwoods,43.64608,-79.41901,Entire home/apt,184,2,55,2019-11-10,1.32,1,27
12517235,Nice room in a great location,67656880,Connie,,Bay Street Corridor,43.64949,-79.38676,Private room,95,2,107,2019-05-27,2.44,1,62
12523599,"Stylish Kitchen, 12min. walks to Finch Subway 1A",2479385,Winny,,Newtonbrook East,43.78363,-79.40305,Private room,34,1,38,2019-07-11,0.87,4,79
12523798,Luxury2Bed2BathNext to FourSeasonHotel/,67841338,Lavish Home,,Annex,43.67239,-79.38898,Entire home/apt,195,2,98,2019-08-30,2.23,1,52
12537334,Platinum Suite King West 360 view,16290105,Eugene,,Waterfront Communities-The Island,43.64508,-79.38826,Entire home/apt,310,1,2,2019-03-02,0.13,12,283
12540799,The Grange,32789999,Mandana,,Kensington-Chinatown,43.65256,-79.39673,Private room,60,1,3,2016-05-30,0.07,1,0
12541588,Central modern apt w/ laundry facilities in suite,2680451,Shona,,Dovercourt-Wallace Emerson-Junction,43.67366,-79.43628,Entire home/apt,74,20,90,2019-10-03,2.13,1,139
12542568,Nice 1 Bedroom APP St Clair West,67961809,Conor,,Wychwood,43.67935,-79.43529,Entire home/apt,90,5,0,,,1,0
12542966,Adventurers  Business Travellers Beach Home,875967,Aeriol,,Greenwood-Coxwell,43.66875,-79.32225,Private room,58,3,55,2019-11-09,1.28,1,90
12544082,Spacious room in a parkside house,51258214,Jane,,Mount Pleasant West,43.70121,-79.3896,Private room,99,60,7,2017-04-03,0.16,2,364
12545726,"Beautiful. modern, right in the downtown core",26631575,Chris,,Bay Street Corridor,43.65312,-79.37961,Entire home/apt,110,1,8,2019-09-08,0.18,3,0
12545884,"Comfy front room,  vintage style",1225477,Mark,,Trinity-Bellwoods,43.65306,-79.41805,Private room,41,9,10,2019-01-01,0.28,5,126
12556483,SOHO 2 Bed/2 Bath CN Tower View 3,4356799,T.,,Little Portugal,43.64104,-79.42249,Entire home/apt,99,1,25,2019-07-25,0.59,18,0
12556575,Little Italy - Bright and huge room,2710928,Jara,,Trinity-Bellwoods,43.65497,-79.41207,Private room,34,1,1,2016-06-01,0.02,1,0
12556850,Quiet oasis in the heart of Kensington Market,2505410,Elise,,Kensington-Chinatown,43.65676,-79.40183,Private room,68,2,41,2018-02-23,0.99,2,0
12557121,Spacious 1 BR in Uptown Toronto,68063974,Mali,,Mount Pleasant West,43.71146,-79.39573,Entire home/apt,105,2,39,2019-11-24,0.89,1,355
12559703,"982 sqf, Heart of Toronto",42307948,Tony,,Bay Street Corridor,43.65729,-79.38434,Entire home/apt,121,365,0,,,1,0
12562198,Sunny Loft Queen West Downtown,56386621,Madeline,,Little Portugal,43.64669,-79.42577,Private room,72,1,16,2016-08-01,0.36,1,0
